,N° Etudiant,Nom,Prénom,Moyenne,Grade,Grade ECTS,code_UE,libelle_UE,responsable_UE,annee,nom_UV,code_UV,note,lieu
4090,2015_9069,Norris,Carmen,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4091,2015_32fb,Jellison,Meagan,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4092,2015_5d45,Robinson,Ramon,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4093,2015_ece0,Harris,Renita,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4094,2015_3d9a,Albert,Lorine,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4095,2015_0b8b,Lundborg,Rebecca,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4096,2015_9f01,Eusebio,Kristopher,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4097,2015_fb3d,Jackson,Ralph,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4098,2015_50cf,Stott,Andrea,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4099,2015_c17f,Smart,Lucile,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4100,2015_a109,Hood,Suzanne,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4101,2015_ca18,Flinn,Jay,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4102,2015_ae70,Lowin,Kent,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4103,2015_558a,Heaton,Heath,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4104,2015_6b08,Latch,Melissa,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4105,2015_ebc0,Bowman,Edna,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4106,2015_8696,Dodds,Ronnie,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4107,2015_d77e,Mclaughlin,Kristin,0,en dessous,F,STC-A1-S1,STC : Recherche et expérimentation,RAUCH Carl ; DEBRUYNE Romuald ; GOSSIAUX Pol Bernard,1ère année d'ingénieur 2014-2015,info,Code UV0,-,Nantes
4108,2015_e80e,Hess,Jacqueline,20,au dessus,A,STC-A1-S1,STC : Recherche et expérimentation,RAUCH Carl ; DEBRUYNE Romuald ; GOSSIAUX Pol Bernard,1ère année d'ingénieur 2014-2015,info,Code UV0,+,Nantes
